route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2021_09_13-DX-MVS-Weekday-08,964252,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964395,Berryessa/North San Jose,0,,964395_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,966804,Daly City,1,,966804_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,966746,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964200,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964407,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964201,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964406,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964202,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964409,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964203,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964408,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964204,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964414,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964205,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964410,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964206,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964403,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964207,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964396,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964208,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964399,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964209,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964398,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964210,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964413,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964211,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964405,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964212,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964400,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964213,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964404,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964214,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964416,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964215,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964412,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964216,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964418,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964217,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964411,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964218,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964415,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964219,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964397,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964220,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964417,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964221,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964401,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964222,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964402,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964223,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964432,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964224,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964443,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964225,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964430,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964226,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964422,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964227,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964434,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964228,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964435,Berryessa/North San Jose,0,,966746_shp,,1,1
